username,account_description,location,following,followers,total_tweets,total_retweets,user_created,tweet_created,text,hashtags
ChadLivengood,Senior Editor at @crainsdetroit covering public policy & Detroit | Michiganian | @detroitnews @delawareonline @SpringfieldNL alum | clivengood@crain.com,"Detroit, MI",6739,21459,85466,0,2009-03-10 02:34:09,2020-03-11 17:35:06,"Hash Bash might be next in the wave of cancellations...

#COVID19 #coronavirus 

https://t.co/Rskzeo8Q8x","[{'text': 'COVID19', 'indices': [57, 65]}, {'text': 'coronavirus', 'indices': [66, 78]}]"
Gilamin92,"still alive, dreaming..... that's it!",ولایات متحده ایران🇮🇷,595,374,14190,16,2015-05-27 19:43:39,2020-03-11 17:35:05,"@WHO Meanwhile, experts have said the #coronavirus is likely to be 10 times more lethal than the seasonal flu.

Live COVID-19 updates here: https://t.co/YeV2m3wGxv","[{'text': 'coronavirus', 'indices': [50, 62]}]"
eldricth,kendi halinde bir çocuk,Trakya,14,18,22,390,2018-08-04 14:04:31,2020-03-11 17:35:05,"How to make profit of #Coronavirus without being a journalist. Edirne, Turkey. https://t.co/9cD0qOBrPn","[{'text': 'Coronavirus', 'indices': [36, 48]}]"
Purepriceaction,"Fortis Fortuna Adiuvat

Tweets are my opinion not advice!",London,195,5704,5776,0,2012-05-19 07:23:21,2020-03-11 17:35:05,Be safe people. #CoronaVirus https://t.co/eOwtRhmQSA,"[{'text': 'CoronaVirus', 'indices': [16, 28]}]"
Kiddo72,"I disapprove of what you say, but I will defend to the death your right to say it. (Evelyn Beatrice Hall)","Buenos Aires, Argentina",1644,294,42029,314,2009-06-27 16:13:29,2020-03-11 17:35:05,"#pandemia.   ⚠️🚨

#coronavirusOutbreak Declared as Pandemic by World Health Organisation.

#coronavirus #COVID19 #Coronavid19 #Corona #Coronavirustruth https://t.co/W3Lr9LpXd2","[{'text': 'pandemia', 'indices': [19, 28]}, {'text': 'coronavirusOutbreak', 'indices': [37, 57]}, {'text': 'coronavirus', 'indices': [110, 122]}, {'text': 'COVID19', 'indices': [123, 131]}]"
Bridge2MI,"Un ponte da e per Milano, la città più innovativa ed eclettica d'Italia in cui la magia non cessa mai di vibrare","Milano, Lombardia",39,86,2194,31077,2018-09-01 19:26:09,2020-03-11 17:35:05,"🚨 BREAKING 🚨

""We have therefore made the assessment that #COVID19 can be characterized as a pandemic""-@DrTedros #coronavirus https://t.co/JqdsM2051A","[{'text': 'COVID19', 'indices': [67, 75]}, {'text': 'coronavirus', 'indices': [122, 134]}]"
cobaltbludolphi,"Here to try to learn/connect/be positive, help animals, promote peace. http://t.co/sPrltfT22m #endbsl",Earth ,4991,1884,58618,1474,2010-12-11 15:57:27,2020-03-11 17:35:05,"""There’s been so much attention on one word. 

Let me give you some other words that matter much more, &amp; that are much more actionable:

Prevention.

Preparedness.

Public health.

Political leadership.

And most of all, People""-@DrTedros #COVID19 #coronavirus",[]
good_grandma,#Resist #IstandwithMuslims #⚖,,2288,1715,44213,3836,2017-04-20 20:06:09,2020-03-11 17:35:05,REMEMBER THIS: Trump was briefed on the #coronavirus over 3 months ago and chose to do nothin’.   This is 100% on Trump.,"[{'text': 'coronavirus', 'indices': [56, 68]}]"
sjc_dev,"Technology Attorney @Axiom_Law • Indie Maker, Developer & Designer @TalkJot • Electric Guitarist • Amateur Photographer • Alum @Maslon @Optum @SeeTheWorldTwit",Minnesota,26,412,1061,18,2019-04-26 19:33:50,2020-03-11 17:35:05,"Power move: grab @Clorox wipe on the way out of office — use to navigate out without touching AND cleaning everything!!! 

 protecting myself and everyone else! #coronavirus 

Everyone do this: embrace your OCD. https://t.co/RsWHWfPqOU",[]
sandcrapper,"Do not wed yourself to any party, ideology, or mob; wed yourself instead to the rule of law.","Charleston, SC",15161,14774,123077,0,2008-08-24 23:39:15,2020-03-11 17:35:05,"#coronavirus 
@cspanwj 
@MSNBC 
#VoteBlue 
@realDonaldTrump is the real hoax. https://t.co/QfMAP1yQkV","[{'text': 'coronavirus', 'indices': [0, 12]}, {'text': 'VoteBlue', 'indices': [32, 41]}]"
wrestlenewz,"WWE, AEW, Impact Wrestling, Indy News; Exclusive Features, Slideshows, Weekly Pieces; Social Media Hotspot, Polls, More #WeAreWrestleNewz",WWE Headquarters,6396,7576,64733,0,2009-01-10 06:29:14,2020-03-11 17:35:05,"#Ryback Still Believes WrestleMania Will Be Cancelled This Year - https://t.co/VYGsZ8Nydj
#Coronavirus #WrestleMania36 #WWE https://t.co/07ynU2XxE4","[{'text': 'Ryback', 'indices': [0, 7]}, {'text': 'Coronavirus', 'indices': [90, 102]}, {'text': 'WrestleMania36', 'indices': [103, 118]}, {'text': 'WWE', 'indices': [119, 123]}]"
plelley2,,"Louisiana, USA",4997,2780,35257,12,2019-11-04 13:12:13,2020-03-11 17:35:05,"This weekend @OANN will expose where the #coronavirus really came from and how it was released. This special report will air Saturday, March 14th &amp; Sunday, March 15th at 10:30 p.m. EST / 7:30 p.m. PST! Tune in!","[{'text': 'coronavirus', 'indices': [57, 69]}]"
Shurao,"Thinker, reader, social justice promoter thru work with immigrants and refugees. East coaster in the PNW. And soccer mom.","Seattle, WA",1417,476,12602,0,2010-01-04 20:15:34,2020-03-11 17:35:05,"@Laurie_Garrett Every journalist should be asking administration officials why we don't have enough tests every single minute of the day. This is totally unacceptable. We have known this was coming since January! This incompetence will kill ppl.  
#coronavirus #COVID19","[{'text': 'coronavirus', 'indices': [248, 260]}, {'text': 'COVID19', 'indices': [261, 269]}]"
DerrickAskey,,"Little Valley, NY",1173,176,1460,23878,2011-09-27 13:54:22,2020-03-11 17:35:05,"This doctor’s advice for surviving the Wuhan #coronavirus:

1.  Stay calm.

2. Wash your hands.

3. Turn off the garbage news media.","[{'text': 'coronavirus', 'indices': [63, 75]}]"
COVID19USA,Retweeting Coronavirus news and updates. Worldwide and USA. We do not create any content. Helping people stay informed. Please follow and retweet. Thank you.,United States,185,283,5205,0,2020-01-28 12:26:41,2020-03-11 17:35:05,#coronavirus #COVID19 is obviously top secret. Why would you want to share information about infections with your citizens? https://t.co/Xtv61avyXw,"[{'text': 'coronavirus', 'indices': [0, 12]}, {'text': 'COVID19', 'indices': [13, 21]}]"
HMRothmandc,News Director at @BGOV. Grad of @smpagwu. Tweets my own; retweets not endorsements. hrothman@BGOV.com. Subscribe to #DownballotPod,"Washington, D.C.",803,925,4916,0,2012-12-10 18:37:13,2020-03-11 17:35:05,"Coronavirus Risks Depressing U.S. Census Participation, Accuracy https://t.co/jgxDwMTHQr via @bgov by @michaelarossa  #coronavirus","[{'text': 'coronavirus', 'indices': [118, 130]}]"
bokera1,"‏‏‏‏‏‏‏‏‏‏‏المشرف العام لKAU CSSC و رئيس جمعية SSSH
استاذ استشاري و رئيس قسم التخدير و العناية المركز KAU،   تخدير     محاكاة     تعليم",Kingdom of Saudi Arabia,2124,7867,34836,1441,2012-02-12 15:38:13,2020-03-11 17:35:05,"""If countries detect, test, treat, isolate, trace, and mobilize their people in the response, those with a handful of #COVID19 cases can prevent those cases becoming clusters, and those clusters becoming community transmission""-@DrTedros #coronavirus","[{'text': 'COVID19', 'indices': [127, 135]}]"
WilderNomads,"Non-Binary DYKE  #LGBTQ Writer/Warrior/Wanderer  ""Write stoned, edit sober"" #420 ""The enemy of my enemy is my friend"". #Blue2020 #Bernie",Earth (usually outside US),726,437,1534,0,2020-01-22 19:41:55,2020-03-11 17:35:05,Isn't this the moron who brought a frozen snow ball into Congress in order to claim that #ClimateChange is another hoax? Whomever is in charge of hoaxes is BRILLIANT! This is the most thorough hoax I've seen #coronavirus (We're so screwed!) https://t.co/SkHhDhEcAJ,"[{'text': 'ClimateChange', 'indices': [89, 103]}, {'text': 'coronavirus', 'indices': [208, 220]}]"
pradipta_r_,logtweet,Indonesia,83,49,1391,388,2013-06-04 14:57:41,2020-03-11 17:35:05,"BREAKING: @WHO says #coronavirus is a ""pandemic.""

Worldwide cases have surpassed 120K and at least 4,298 people have died. https://t.co/NW9WVyUBYl","[{'text': 'coronavirus', 'indices': [32, 44]}]"
lanct22,,"Wrexham, Wales",4944,1350,324203,80,2010-06-08 16:46:52,2020-03-11 17:35:05,"I believe The World Health Organization.

The #coronavirus is a pandemic.

I do not believe Donald Trump.

He hides public health data.

#ByeByeTrump","[{'text': 'coronavirus', 'indices': [62, 74]}]"
